Date,Product,UnitsSold,Revenue
2026-01-01,Laptop,6,378144
2026-01-02,Mobile,19,466868
2026-01-03,Laptop,48,3875568
2026-01-04,Laptop,42,3051342
2026-01-05,Laptop,6,306840
2026-01-06,Mobile,19,694621
2026-01-07,Smartwatch,6,37542
2026-01-08,Smartwatch,31,204941
2026-01-09,Tablet,42,1012830
2026-01-10,Laptop,15,1090440
2026-01-11,Headphones,22,35992
2026-01-12,Mobile,26,607074
2026-01-13,Laptop,29,1488802
2026-01-14,Headphones,27,93744
2026-01-15,Headphones,7,27916
2026-01-16,Tablet,39,744510
2026-01-17,Tablet,10,330890
2026-01-18,Headphones,45,158985
2026-01-19,Headphones,41,73267
2026-01-20,Laptop,7,419545
2026-01-21,Headphones,10,45030
2026-01-22,Mobile,11,357005
2026-01-23,Headphones,34,122502
2026-01-24,Headphones,15,37740
2026-01-25,Headphones,18,67410
2026-01-26,Headphones,49,236964
2026-01-27,Laptop,43,2417245
2026-01-28,Smartwatch,20,113540
2026-01-29,Tablet,29,691505
2026-01-30,Smartwatch,19,157947
2026-01-31,Laptop,19,894957
2026-02-01,Headphones,30,62880
2026-02-02,Laptop,18,1479060
2026-02-03,Headphones,18,66312
2026-02-04,Tablet,30,901050
2026-02-05,Mobile,21,516075
2026-02-06,Mobile,40,1506440
2026-02-07,Headphones,42,115668
2026-02-08,Smartwatch,30,267900
2026-02-09,Mobile,13,477048
2026-02-10,Tablet,10,165430
2026-02-11,Laptop,14,776776
2026-02-12,Tablet,43,734483
2026-02-13,Tablet,29,1001254
2026-02-14,Tablet,38,883044
2026-02-15,Smartwatch,5,24380
2026-02-16,Smartwatch,22,188606
2026-02-17,Laptop,23,1690316
2026-02-18,Mobile,34,683604
2026-02-19,Headphones,37,152440
2026-02-20,Mobile,37,1846448
2026-02-21,Laptop,45,2905110
2026-02-22,Smartwatch,43,269094
2026-02-23,Mobile,28,1259580
2026-02-24,Mobile,39,1775046
2026-02-25,Smartwatch,5,41550
2026-02-26,Tablet,6,111990
2026-02-27,Headphones,24,47520
2026-02-28,Laptop,20,1643640
2026-03-01,Laptop,10,768490
2026-03-02,Laptop,39,2076399
2026-03-03,Mobile,47,1671978
2026-03-04,Smartwatch,15,110130
2026-03-05,Smartwatch,43,427076
2026-03-06,Mobile,39,1745172
2026-03-07,Mobile,50,1510700
2026-03-08,Tablet,47,1280092
2026-03-09,Tablet,38,1132172
2026-03-10,Laptop,20,1194500
2026-03-11,Laptop,26,1205828
2026-03-12,Smartwatch,40,270800
2026-03-13,Smartwatch,19,59223
2026-03-14,Laptop,50,2442900
2026-03-15,Mobile,9,447012
2026-03-16,Laptop,26,1290718
2026-03-17,Smartwatch,20,151240
2026-03-18,Tablet,18,588042
2026-03-19,Mobile,41,1594121
2026-03-20,Tablet,20,609960
2026-03-21,Tablet,17,307530
2026-03-22,Laptop,47,3442703
2026-03-23,Headphones,32,85856
2026-03-24,Tablet,8,145792
2026-03-25,Laptop,30,2017080
2026-03-26,Laptop,20,1151120
2026-03-27,Mobile,39,1353300
2026-03-28,Mobile,32,832384
2026-03-29,Headphones,34,68782
2026-03-30,Laptop,33,2675178
2026-03-31,Laptop,8,643416
2026-04-01,Laptop,10,604910
2026-04-02,Mobile,31,1113303
2026-04-03,Tablet,18,506538
2026-04-04,Laptop,15,1047540
2026-04-05,Laptop,29,1809020
2026-04-06,Tablet,23,663803
2026-04-07,Smartwatch,47,515731
2026-04-08,Mobile,17,505274
2026-04-09,Mobile,8,311824
2026-04-10,Smartwatch,8,65104
